,2,4_100,4_1000,4_10000,4_100000
#Streams: 1,0.18600000000000003,0.175,0.159,0.145,0.155
#Streams: 2,0.182,0.209,0.155,0.157,0.18
#Streams: 3,0.18600000000000003,0.23199999999999998,0.157,0.149,0.16
#Streams: 4,0.184,0.249,0.16,0.14400000000000002,0.175
#Streams: 5,0.188,0.268,0.163,0.145,0.165
#Streams: 6,0.193,0.295,0.165,0.14800000000000002,0.172
#Streams: 7,0.18600000000000003,0.33899999999999997,0.168,0.151,0.152
#Streams: 8,0.2,0.354,0.17300000000000001,0.151,0.179
#Streams: 9,0.183,0.37799999999999995,0.175,0.162,0.152
#Streams: 10,0.184,0.387,0.185,0.16,0.152
