,1st,2nd,3rd,4th,5th,avg
#Streams: 1,0.191,0.189,0.188,0.193,0.209,0.194
#Streams: 2,0.201,0.229,0.224,0.213,0.223,0.218
#Streams: 3,0.244,0.246,0.302,0.246,0.247,0.257
#Streams: 4,0.259,0.331,0.256,0.264,0.317,0.285
#Streams: 5,0.339,0.333,0.296,0.297,0.305,0.314
#Streams: 6,0.333,0.315,0.313,0.325,0.32,0.321
#Streams: 7,0.376,0.356,0.407,0.396,0.437,0.394
#Streams: 8,0.466,0.458,0.405,0.389,0.422,0.428
#Streams: 9,0.423,0.482,0.454,0.498,0.464,0.464
#Streams: 10,0.452,0.431,0.431,0.437,0.443,0.439
